File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,xnorm,ynorm,znorm
1,Cy5,2,318.6459022,556.3778448,38.76992391,2.950490251,2.403040563,51.52956156,0,5,4280.795818,0.960504187,176.0327168,0.039495813,-0.12546424,-0.126290112,0.155719598
1,Cy5,2,344.5991181,559.0441762,35.36496353,2.398436962,2.743997369,7.875158795,0,5,2227.55026,0.500073348,2226.920049,0.499926652,-0.132348996,0.380220671,0.061137365
1,Cy5,2,350.0921132,555.9390143,33.85897711,1.917794001,2.513669793,15.27486842,0,5,1581.25807,0.356139216,2858.741989,0.643860784,-0.081939168,0.481461668,0.019304409
1,Cy5,2,342.8400795,563.4865719,39.13374878,1.152788977,2.759222887,9.573557192,0,5,2265.885368,0.509787623,2178.869072,0.490212377,-0.197228464,0.353402076,0.165825845
1,Cy5,2,341,547,38,1.131584282,2.231301874,10.12660367,0,5,3049.786878,0.685356189,1400.14285,0.314643811,0.033619622,0.291011361,0.134332823
1,Cy5,2,331,521,39,1.001985216,2.853398673,6.207264411,0,5,4280.478945,0.958818479,183.8477631,0.041181521,0.389252025,0.055274422,0.162110601
1,Cy5,4,447.9194388,814.6218302,27.90327089,4.202896137,2.615492157,62.14677244,2,5,1442.866642,0.329820682,2931.691872,0.670179318,-0.086984708,-0.720837229,-0.157964238
1,Cy5,4,433.0716603,813.5443716,33.65862035,3.296611147,2.621004923,33.96514419,2,5,2831.714941,0.657113092,1477.496051,0.342886908,-0.103095015,-0.37586767,0.011310747
1,Cy5,4,437.4551482,877.0605189,31.69907684,2.346076043,2.888611405,66.13459526,1,5,1101.967084,0.245684889,3382.983994,0.754315111,0.711833599,-0.459971877,-0.046322886
1,Cy5,4,429.028127,871.7434322,33.50725825,1.981751544,2.978585658,26.37555659,1,5,2252.675274,0.515081877,2120.937694,0.484918123,0.642366679,-0.265501506,0.00685892
1,Cy5,4,400.8650255,877.5151068,36.28080978,1.003276278,2.619662742,20.58574725,1,5,1708.85575,0.378336093,2808.201745,0.621663907,0.711998785,0.391026823,0.088433965
1,Cy5,5,448.1797183,527.6935565,32.71006359,4.135653941,2.693699682,30.92627964,1,5,1706.100876,0.421711252,2339.624444,0.578288748,0.007642934,0.393806795,-0.102719734
1,Cy5,5,457.4083746,501.097729,34.89133869,2.251715867,2.697336094,16.76466241,1,5,1332.209142,0.326617446,2746.628644,0.673382554,-0.369656537,0.468064397,-0.045317757
1,Cy5,5,483,489,31,1.32320172,2.395247312,17.21425462,2,5,2503.537497,0.613361179,1578.131807,0.386638821,-0.670217981,0.107033569,-0.147721407
1,Cy5,6,603.5371551,862.4878418,32.81291878,3.417155163,2.878549299,29.82547506,2,5,2116.905177,0.453294309,2553.67395,0.546705691,0.413279581,-0.454373346,-0.044561651
1,Cy5,6,547.14176,778.784205,36.22411746,2.935882969,2.444499266,36.06228416,1,5,734.6536391,0.153162118,4061.368708,0.846837882,-0.841336338,0.346668917,0.055767722
1,Cy5,6,601.6178142,855.1607135,32.10448467,2.355907989,2.994647947,13.14732289,2,5,1741.041134,0.407430491,2532.181772,0.592569509,0.312969677,-0.45162193,-0.065397949
1,Cy5,6,555.1300547,792.1005465,33.81950252,0.819878856,3.056619387,12.46582254,1,5,2449.97397,0.526760803,2201.010375,0.473239197,-0.644842245,0.241193105,-0.014956247
1,Cy5,6,550.9249173,785.6464908,32.53843065,0.76196923,2.86023899,8.188451714,1,5,1724.71079,0.350409202,3197.318358,0.649590798,-0.74112886,0.299759041,-0.052634832
1,a488,2,347.3265202,564.6608154,32.39838908,4.427373067,2.488010208,32.63876128,0,5,1619.109566,0.36075448,2869.104708,0.63924552,-0.208501201,0.442119768,-0.02126748
1,a488,2,337.1148803,546.0737578,35.46161935,4.366712949,2.587687044,40.53492364,0,5,3559.69815,0.800130622,889.1919912,0.199869378,0.04210063,0.214331797,0.063822249
